Symbol,FullName,CSVName,Sector
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Assurant,Financials
ATO,Atmos Energy Corp,Atmos Energy Corp,Utilities
T,AT&T Inc.,AT&T Inc.,Communication Services
ADSK,Autodesk Inc.,Autodesk Inc.,Information Technology
ADP,Automatic Data Processing,Automatic Data Processing,Information Technology
AZO,AutoZone Inc,AutoZone Inc,Consumer Discretionary
AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",Real Estate
AVY,Avery Dennison Corp,Avery Dennison Corp,Materials
BHGE,"Baker Hughes, a GE Company","Baker Hughes, a GE Company",Energy
BLL,Ball Corp,Ball Corp,Materials
BAC,Bank of America Corp,Bank of America Corp,Financials
BK,The Bank of New York Mellon Corp.,The Bank of New York Mellon Corp.,Financials
BAX,Baxter International Inc.,Baxter International Inc.,Health Care
BBT,BB&T Corporation,BB&T Corporation,Financials
BDX,Becton Dickinson,Becton Dickinson,Health Care
BRK.B,Berkshire Hathaway,Berkshire Hathaway,Financials
BBY,Best Buy Co. Inc.,Best Buy Co. Inc.,Consumer Discretionary
BIIB,Biogen Inc.,Biogen Inc.,Health Care
BLK,BlackRock,BlackRock,Financials
HRB,Block H&R,Block H&R,Consumer Discretionary
BA,Boeing Company,Boeing Company,Industrials
BKNG,Booking Holdings Inc,Booking Holdings Inc,Consumer Discretionary
BWA,BorgWarner,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Boston Properties,Real Estate
BSX,Boston Scientific,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Bristol-Myers Squibb,Health Care
AVGO,Broadcom,Broadcom,Information Technology
BR,Broadridge Financial Solutions,Broadridge Financial Solutions,Information Technology
BF.B,Brown-Forman Corp.,Brown-Forman Corp.,Consumer Staples
CHRW,C. H. Robinson Worldwide,C. H. Robinson Worldwide,Industrials
COG,Cabot Oil & Gas,Cabot Oil & Gas,Energy
CDNS,Cadence Design Systems,Cadence Design Systems,Information Technology
CPB,Campbell Soup,Campbell Soup,Consumer Staples
COF,Capital One Financial,Capital One Financial,Financials
CPRI,Capri Holdings,Capri Holdings,Consumer Discretionary
CAH,Cardinal Health Inc.,Cardinal Health Inc.,Health Care
KMX,Carmax Inc,Carmax Inc,Consumer Discretionary
CCL,Carnival Corp.,Carnival Corp.,Consumer Discretionary
CAT,Caterpillar Inc.,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Cboe Global Markets,Financials
CBRE,CBRE Group,CBRE Group,Real Estate
VIAC,CBS Corp.,CBS Corp.,Communication Services
CE,Celanese Corp.,Celanese Corp.,Materials
CELG,Celgene Corp.,Celgene Corp.,Health Care
CNC,Centene Corporation,Centene Corporation,Health Care
CNP,CenterPoint Energy,CenterPoint Energy,Utilities
CTL,CenturyLink Inc,CenturyLink Inc,Communication Services
CERN,Cerner,Cerner,Health Care
CF,CF Industries Holdings Inc,CF Industries Holdings Inc,Materials
SCHW,Charles Schwab Corporation,Charles Schwab Corporation,Financials
CHTR,Charter Communications,Charter Communications,Communication Services
CVX,Chevron Corp.,Chevron Corp.,Energy
CMG,Chipotle Mexican Grill,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Chubb Limited,Financials
CHD,Church & Dwight,Church & Dwight,Consumer Staples
CI,CIGNA Corp.,CIGNA Corp.,Health Care
XEC,Cimarex Energy,Cimarex Energy,Energy
CINF,Cincinnati Financial,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Cintas Corporation,Industrials
CSCO,Cisco Systems,Cisco Systems,Information Technology
C,Citigroup Inc.,Citigroup Inc.,Financials
CFG,Citizens Financial Group,Citizens Financial Group,Financials
CTXS,Citrix Systems,Citrix Systems,Information Technology
CLX,The Clorox Company,The Clorox Company,Consumer Staples
CME,CME Group Inc.,CME Group Inc.,Financials
CMS,CMS Energy,CMS Energy,Utilities
KO,Coca-Cola Company,Coca-Cola Company,Consumer Staples
CTSH,Cognizant Technology Solutions,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp.,Comcast Corp.,Communication Services
CMA,Comerica Inc.,Comerica Inc.,Financials
CAG,Conagra Brands,Conagra Brands,Consumer Staples
CXO,Concho Resources,Concho Resources,Energy
COP,ConocoPhillips,ConocoPhillips,Energy
ED,Consolidated Edison,Consolidated Edison,Utilities
STZ,Constellation Brands,Constellation Brands,Consumer Staples
COO,The Cooper Companies,The Cooper Companies,Health Care
CPRT,Copart Inc,Copart Inc,Industrials
GLW,Corning Inc.,Corning Inc.,Information Technology
COST,Costco Wholesale Corp.,Costco Wholesale Corp.,Consumer Staples
COTY,"Coty, Inc","Coty, Inc",Consumer Staples
CCI,Crown Castle International Corp.,Crown Castle International Corp.,Real Estate
CSX,CSX Corp.,CSX Corp.,Industrials
CMI,Cummins Inc.,Cummins Inc.,Industrials
CVS,CVS Health,CVS Health,Health Care
DHI,D. R. Horton,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Danaher Corp.,Health Care
DRI,Darden Restaurants,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,DaVita Inc.,Health Care
DE,Deere & Co.,Deere & Co.,Industrials
DAL,Delta Air Lines Inc.,Delta Air Lines Inc.,Industrials
XRAY,Dentsply Sirona,Dentsply Sirona,Health Care
DVN,Devon Energy,Devon Energy,Energy
FANG,Diamondback Energy,Diamondback Energy,Energy
DLR,Digital Realty Trust Inc,Digital Realty Trust Inc,Real Estate
DFS,Discover Financial Services,Discover Financial Services,Financials
DISCA,Discovery Inc. Class A,Discovery Inc. Class A,Communication Services
DISCK,Discovery Inc. Class C,Discovery Inc. Class C,Communication Services
DISH,Dish Network,Dish Network,Communication Services
DG,Dollar General,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Dominion Energy,Utilities
DOV,Dover Corp.,Dover Corp.,Industrials
DOW,Dow Inc.,Dow Inc.,Materials
DWDP,DowDuPont,DowDuPont,Materials
DTE,DTE Energy Co.,DTE Energy Co.,Utilities
DRE,Duke Realty Corp,Duke Realty Corp,Real Estate
DUK,Duke Energy,Duke Energy,Utilities
DXC,DXC Technology,DXC Technology,Information Technology
ETFC,E*Trade,E Trade,Financials
EMN,Eastman Chemical,Eastman Chemical,Materials
ETN,Eaton Corporation,Eaton Corporation,Industrials
EBAY,eBay Inc.,eBay Inc.,Consumer Discretionary
ECL,Ecolab Inc.,Ecolab Inc.,Materials
EIX,Edison Int'l,Edison Int'l,Utilities
EW,Edwards Lifesciences,Edwards Lifesciences,Health Care
EA,Electronic Arts,Electronic Arts,Communication Services
EMR,Emerson Electric Company,Emerson Electric Company,Industrials
ETR,Entergy Corp.,Entergy Corp.,Utilities
EOG,EOG Resources,EOG Resources,Energy
EFX,Equifax Inc.,Equifax Inc.,Industrials
EQIX,Equinix,Equinix,Real Estate
EQR,Equity Residential,Equity Residential,Real Estate
ESS,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",Real Estate
EL,Estee Lauder Cos.,Estee Lauder Cos.,Consumer Staples
EVRG,Evergy,Evergy,Utilities
ES,Eversource Energy,Eversource Energy,Utilities
RE,Everest Re Group Ltd.,Everest Re Group Ltd.,Financials
EXC,Exelon Corp.,Exelon Corp.,Utilities
EXPE,Expedia Group,Expedia Group,Consumer Discretionary
EXPD,Expeditors,Expeditors,Industrials
EXR,Extra Space Storage,Extra Space Storage,Real Estate
XOM,Exxon Mobil Corp.,Exxon Mobil Corp.,Energy
FFIV,F5 Networks,F5 Networks,Information Technology
FB,"Facebook, Inc.","Facebook, Inc.",Communication Services
FAST,Fastenal Co,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,Real Estate
FDX,FedEx Corporation,FedEx Corporation,Industrials
FIS,Fidelity National Information Services,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Fifth Third Bancorp,Financials
FE,FirstEnergy Corp,FirstEnergy Corp,Utilities
FRC,First Republic Bank,First Republic Bank,Financials
FISV,Fiserv Inc,Fiserv Inc,Information Technology
FLT,FleetCor Technologies Inc,FleetCor Technologies Inc,Information Technology
FLIR,FLIR Systems,FLIR Systems,Information Technology
FLS,Flowserve Corporation,Flowserve Corporation,Industrials
FLR,Fluor Corp.,Fluor Corp.,Industrials
FMC,FMC Corporation,FMC Corporation,Materials
FL,Foot Locker Inc,Foot Locker Inc,Consumer Discretionary
F,Ford Motor,Ford Motor,Consumer Discretionary
FTNT,Fortinet,Fortinet,Information Technology
FTV,Fortive Corp,Fortive Corp,Industrials
FBHS,Fortune Brands Home & Security,Fortune Brands Home & Security,Industrials
BEN,Franklin Resources,Franklin Resources,Financials
FCX,Freeport-McMoRan Inc.,Freeport-McMoRan Inc.,Materials
GPS,Gap Inc.,Gap Inc.,Consumer Discretionary
GRMN,Garmin Ltd.,Garmin Ltd.,Consumer Discretionary
IT,Gartner Inc,Gartner Inc,Information Technology
GD,General Dynamics,General Dynamics,Industrials
GE,General Electric,General Electric,Industrials
GIS,General Mills,General Mills,Consumer Staples
GM,General Motors,General Motors,Consumer Discretionary
GPC,Genuine Parts,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Gilead Sciences,Health Care
GPN,Global Payments Inc.,Global Payments Inc.,Information Technology
GS,Goldman Sachs Group,Goldman Sachs Group,Financials
GWW,Grainger (W.W.) Inc.,Grainger (W.W.) Inc.,Industrials
HAL,Halliburton Co.,Halliburton Co.,Energy
HBI,Hanesbrands Inc,Hanesbrands Inc,Consumer Discretionary
HOG,Harley-Davidson,Harley-Davidson,Consumer Discretionary
HRS,Harris Corporation,Harris Corporation,Industrials
HIG,Hartford Financial Svc.Gp.,Hartford Financial Svc.Gp.,Financials
HAS,Hasbro Inc.,Hasbro Inc.,Consumer Discretionary
HCA,HCA Holdings,HCA Holdings,Health Care
HCP,HCP Inc.,HCP Inc.,Real Estate
HP,Helmerich & Payne,Helmerich & Payne,Energy
HSIC,Henry Schein,Henry Schein,Health Care
HSY,The Hershey Company,The Hershey Company,Consumer Staples
HES,Hess Corporation,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,Consumer Discretionary
HFC,HollyFrontier Corp,HollyFrontier Corp,Energy
HOLX,Hologic,Hologic,Health Care
HD,Home Depot,Home Depot,Consumer Discretionary
HON,Honeywell Int'l Inc.,Honeywell Int'l Inc.,Industrials
HRL,Hormel Foods Corp.,Hormel Foods Corp.,Consumer Staples
HST,Host Hotels & Resorts,Host Hotels & Resorts,Real Estate
HPQ,HP Inc.,HP Inc.,Information Technology
HUM,Humana Inc.,Humana Inc.,Health Care
HBAN,Huntington Bancshares,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Huntington Ingalls Industries,Industrials
IDXX,IDEXX Laboratories,IDEXX Laboratories,Health Care
INFO,IHS Markit Ltd.,IHS Markit Ltd.,Industrials
ITW,Illinois Tool Works,Illinois Tool Works,Industrials
ILMN,Illumina Inc,Illumina Inc,Health Care
IR,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Industrials
INTC,Intel Corp.,Intel Corp.,Information Technology
ICE,Intercontinental Exchange,Intercontinental Exchange,Financials
IBM,International Business Machines,International Business Machines,Information Technology
INCY,Incyte,Incyte,Health Care
IP,International Paper,International Paper,Materials
IPG,Interpublic Group,Interpublic Group,Communication Services
IFF,Intl Flavors & Fragrances,Intl Flavors & Fragrances,Materials
INTU,Intuit Inc.,Intuit Inc.,Information Technology
ISRG,Intuitive Surgical Inc.,Intuitive Surgical Inc.,Health Care
IVZ,Invesco Ltd.,Invesco Ltd.,Financials
IPGP,IPG Photonics Corp.,IPG Photonics Corp.,Information Technology
IQV,IQVIA Holdings Inc.,IQVIA Holdings Inc.,Health Care
IRM,Iron Mountain Incorporated,Iron Mountain Incorporated,Real Estate
JKHY,Jack Henry & Associates Inc,Jack Henry & Associates Inc,Information Technology
JEC,Jacobs Engineering Group,Jacobs Engineering Group,Industrials
JBHT,J. B. Hunt Transport Services,J. B. Hunt Transport Services,Industrials
JEF,Jefferies Financial Group,Jefferies Financial Group,Financials
SJM,JM Smucker,JM Smucker,Consumer Staples
JNJ,Johnson & Johnson,Johnson & Johnson,Health Care
JCI,Johnson Controls International,Johnson Controls International,Industrials
JPM,JPMorgan Chase & Co.,JPMorgan Chase & Co.,Financials
JNPR,Juniper Networks,Juniper Networks,Information Technology
KSU,Kansas City Southern,Kansas City Southern,Industrials
K,Kellogg Co.,Kellogg Co.,Consumer Staples
KEY,KeyCorp,KeyCorp,Financials
KEYS,Keysight Technologies,Keysight Technologies,Information Technology
KMB,Kimberly-Clark,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Kimco Realty,Real Estate
KMI,Kinder Morgan,Kinder Morgan,Energy
KLAC,KLA-Tencor Corp.,KLA-Tencor Corp.,Information Technology
KSS,Kohl's Corp.,Kohl's Corp.,Consumer Discretionary
KHC,Kraft Heinz Co,Kraft Heinz Co,Consumer Staples
KR,Kroger Co.,Kroger Co.,Consumer Staples
LB,L Brands Inc.,L Brands Inc.,Consumer Discretionary
LLL,L-3 Communications Holdings,L-3 Communications Holdings,Industrials
LH,Laboratory Corp. of America Holding,Laboratory Corp. of America Holding,Health Care
LRCX,Lam Research,Lam Research,Information Technology
LW,Lamb Weston Holdings Inc,Lamb Weston Holdings Inc,Consumer Staples
LEG,Leggett & Platt,Leggett & Platt,Consumer Discretionary
LEN,Lennar Corp.,Lennar Corp.,Consumer Discretionary
LLY,Lilly (Eli) & Co.,Lilly (Eli) & Co.,Health Care
LNC,Lincoln National,Lincoln National,Financials
LIN,Linde plc,Linde plc,Materials
LKQ,LKQ Corporation,LKQ Corporation,Consumer Discretionary
LMT,Lockheed Martin Corp.,Lockheed Martin Corp.,Industrials
L,Loews Corp.,Loews Corp.,Financials
LOW,Lowe's Cos.,Lowe's Cos.,Consumer Discretionary
LYB,LyondellBasell,LyondellBasell,Materials
MTB,M&T Bank Corp.,M&T Bank Corp.,Financials
MAC,Macerich,Macerich,Real Estate
M,Macy's Inc.,Macy's Inc.,Consumer Discretionary
MRO,Marathon Oil Corp.,Marathon Oil Corp.,Energy
MPC,Marathon Petroleum,Marathon Petroleum,Energy
MAR,Marriott Int'l.,Marriott Int'l.,Consumer Discretionary
MMC,Marsh & McLennan,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Martin Marietta Materials,Materials
MAS,Masco Corp.,Masco Corp.,Industrials
MA,Mastercard Inc.,Mastercard Inc.,Information Technology
MAT,Mattel Inc.,Mattel Inc.,Consumer Discretionary
MKC,McCormick & Co.,McCormick & Co.,Consumer Staples
MXIM,Maxim Integrated Products Inc,Maxim Integrated Products Inc,Information Technology
MCD,McDonald's Corp.,McDonald's Corp.,Consumer Discretionary
MCK,McKesson Corp.,McKesson Corp.,Health Care
MDT,Medtronic plc,Medtronic plc,Health Care
MRK,Merck & Co.,Merck & Co.,Health Care
MET,MetLife Inc.,MetLife Inc.,Financials
MTD,Mettler Toledo,Mettler Toledo,Health Care
MGM,MGM Resorts International,MGM Resorts International,Consumer Discretionary
MCHP,Microchip Technology,Microchip Technology,Information Technology
MU,Micron Technology,Micron Technology,Information Technology
MSFT,Microsoft Corp.,Microsoft Corp.,Information Technology
MAA,Mid-America Apartments,Mid-America Apartments,Real Estate
MHK,Mohawk Industries,Mohawk Industries,Consumer Discretionary
TAP,Molson Coors Brewing Company,Molson Coors Brewing Company,Consumer Staples
MDLZ,Mondelez International,Mondelez International,Consumer Staples
MNST,Monster Beverage,Monster Beverage,Consumer Staples
MCO,Moody's Corp,Moody's Corp,Financials
MS,Morgan Stanley,Morgan Stanley,Financials
MOS,The Mosaic Company,The Mosaic Company,Materials
MSI,Motorola Solutions Inc.,Motorola Solutions Inc.,Information Technology
MSCI,MSCI Inc,MSCI Inc,Financials
MYL,Mylan N.V.,Mylan N.V.,Health Care
NDAQ,"Nasdaq, Inc.","Nasdaq, Inc.",Financials
NOV,National Oilwell Varco Inc.,National Oilwell Varco Inc.,Energy
NKTR,Nektar Therapeutics,Nektar Therapeutics,Health Care
NTAP,NetApp,NetApp,Information Technology
NFLX,Netflix Inc.,Netflix Inc.,Communication Services
NWL,Newell Brands,Newell Brands,Consumer Discretionary
NEM,Newmont Mining Corporation,Newmont Mining Corporation,Materials
NWSA,News Corp. Class A,News Corp. Class A,Communication Services
NWS,News Corp. Class B,News Corp. Class B,Communication Services
NEE,NextEra Energy,NextEra Energy,Utilities
NLSN,Nielsen Holdings,Nielsen Holdings,Industrials
NKE,Nike,Nike,Consumer Discretionary
NI,NiSource Inc.,NiSource Inc.,Utilities
NBL,Noble Energy Inc,Noble Energy Inc,Energy
JWN,Nordstrom,Nordstrom,Consumer Discretionary
NSC,Norfolk Southern Corp.,Norfolk Southern Corp.,Industrials
NTRS,Northern Trust Corp.,Northern Trust Corp.,Financials
NOC,Northrop Grumman Corp.,Northrop Grumman Corp.,Industrials
NCLH,Norwegian Cruise Line,Norwegian Cruise Line,Consumer Discretionary
NRG,NRG Energy,NRG Energy,Utilities
NUE,Nucor Corp.,Nucor Corp.,Materials
NVDA,Nvidia Corporation,Nvidia Corporation,Information Technology
ORLY,O'Reilly Automotive,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Occidental Petroleum,Energy
OMC,Omnicom Group,Omnicom Group,Communication Services
OKE,ONEOK,ONEOK,Energy
ORCL,Oracle Corp.,Oracle Corp.,Information Technology
PCAR,PACCAR Inc.,PACCAR Inc.,Industrials
PKG,Packaging Corporation of America,Packaging Corporation of America,Materials
PH,Parker-Hannifin,Parker-Hannifin,Industrials
PAYX,Paychex Inc.,Paychex Inc.,Information Technology
PYPL,PayPal,PayPal,Information Technology
PNR,Pentair plc,Pentair plc,Industrials
PBCT,People's United Financial,People's United Financial,Financials
PEP,PepsiCo Inc.,PepsiCo Inc.,Consumer Staples
PKI,PerkinElmer,PerkinElmer,Health Care
PRGO,Perrigo,Perrigo,Health Care
PFE,Pfizer Inc.,Pfizer Inc.,Health Care
PM,Philip Morris International,Philip Morris International,Consumer Staples
PSX,Phillips 66,Phillips 66,Energy
PNW,Pinnacle West Capital,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Pioneer Natural Resources,Energy
PNC,PNC Financial Services,PNC Financial Services,Financials
RL,Polo Ralph Lauren Corp.,Polo Ralph Lauren Corp.,Consumer Discretionary
PPG,PPG Industries,PPG Industries,Materials
PPL,PPL Corp.,PPL Corp.,Utilities
PFG,Principal Financial Group,Principal Financial Group,Financials
PG,Procter & Gamble,Procter & Gamble,Consumer Staples
PGR,Progressive Corp.,Progressive Corp.,Financials
PLD,Prologis,Prologis,Real Estate
PRU,Prudential Financial,Prudential Financial,Financials
PEG,Public Serv. Enterprise Inc.,Public Serv. Enterprise Inc.,Utilities
PSA,Public Storage,Public Storage,Real Estate
PHM,Pulte Homes Inc.,Pulte Homes Inc.,Consumer Discretionary
PVH,PVH Corp.,PVH Corp.,Consumer Discretionary
QRVO,Qorvo,Qorvo,Information Technology
PWR,Quanta Services Inc.,Quanta Services Inc.,Industrials
QCOM,QUALCOMM Inc.,QUALCOMM Inc.,Information Technology
DGX,Quest Diagnostics,Quest Diagnostics,Health Care
RJF,Raymond James Financial Inc.,Raymond James Financial Inc.,Financials
RTN,Raytheon Co.,Raytheon Co.,Industrials
O,Realty Income Corporation,Realty Income Corporation,Real Estate
RHT,Red Hat Inc.,Red Hat Inc.,Information Technology
REG,Regency Centers Corporation,Regency Centers Corporation,Real Estate
REGN,Regeneron,Regeneron,Health Care
RF,Regions Financial Corp.,Regions Financial Corp.,Financials
RSG,Republic Services Inc,Republic Services Inc,Industrials
RMD,ResMed,ResMed,Health Care
RHI,Robert Half International,Robert Half International,Industrials
ROK,Rockwell Automation Inc.,Rockwell Automation Inc.,Industrials
ROL,Rollins Inc.,Rollins Inc.,Industrials
ROP,Roper Technologies,Roper Technologies,Industrials
ROST,Ross Stores,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd,Royal Caribbean Cruises Ltd,Consumer Discretionary
CRM,Salesforce.com,Salesforce.com,Information Technology
SBAC,SBA Communications,SBA Communications,Real Estate
SLB,Schlumberger Ltd.,Schlumberger Ltd.,Energy
STX,Seagate Technology,Seagate Technology,Information Technology
SEE,Sealed Air,Sealed Air,Materials
SRE,Sempra Energy,Sempra Energy,Utilities
SHW,Sherwin-Williams,Sherwin-Williams,Materials
SPG,Simon Property Group Inc,Simon Property Group Inc,Real Estate
SWKS,Skyworks Solutions,Skyworks Solutions,Information Technology
SLG,SL Green Realty,SL Green Realty,Real Estate
SNA,Snap-on,Snap-on,Industrials
SO,Southern Co.,Southern Co.,Utilities
LUV,Southwest Airlines,Southwest Airlines,Industrials
SPGI,"S&P Global, Inc.","S&P Global, Inc.",Financials
SWK,Stanley Black & Decker,Stanley Black & Decker,Industrials
SBUX,Starbucks Corp.,Starbucks Corp.,Consumer Discretionary
STT,State Street Corp.,State Street Corp.,Financials
SYK,Stryker Corp.,Stryker Corp.,Health Care
STI,SunTrust Banks,SunTrust Banks,Financials
SIVB,SVB Financial,SVB Financial,Financials
SYMC,Symantec Corp.,Symantec Corp.,Information Technology
SYF,Synchrony Financial,Synchrony Financial,Financials
SNPS,Synopsys Inc.,Synopsys Inc.,Information Technology
SYY,Sysco Corp.,Sysco Corp.,Consumer Staples
TROW,T. Rowe Price Group,T. Rowe Price Group,Financials
TTWO,Take-Two Interactive,Take-Two Interactive,Communication Services
TPR,"Tapestry, Inc.","Tapestry, Inc.",Consumer Discretionary
TGT,Target Corp.,Target Corp.,Consumer Discretionary
TEL,TE Connectivity Ltd.,TE Connectivity Ltd.,Information Technology
FTI,TechnipFMC,TechnipFMC,Energy
TFX,Teleflex Inc,Teleflex Inc,Health Care
TXN,Texas Instruments,Texas Instruments,Information Technology
TXT,Textron Inc.,Textron Inc.,Industrials
TMO,Thermo Fisher Scientific,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co.,Tiffany & Co.,Consumer Discretionary
TWTR,"Twitter, Inc.","Twitter, Inc.",Communication Services
TJX,TJX Companies Inc.,TJX Companies Inc.,Consumer Discretionary
TMK,Torchmark Corp.,Torchmark Corp.,Financials
TSS,Total System Services,Total System Services,Information Technology
TSCO,Tractor Supply Company,Tractor Supply Company,Consumer Discretionary
TDG,TransDigm Group,TransDigm Group,Industrials
TRV,The Travelers Companies Inc.,The Travelers Companies Inc.,Financials
TRIP,TripAdvisor,TripAdvisor,Communication Services
FOXA,Fox Corporation Class A,Fox Corporation Class A,Communication Services
FOX,Fox Corporation Class B,Fox Corporation Class B,Communication Services
TSN,Tyson Foods,Tyson Foods,Consumer Staples
UDR,UDR Inc,UDR Inc,Real Estate
ULTA,Ulta Beauty,Ulta Beauty,Consumer Discretionary
USB,U.S. Bancorp,U.S. Bancorp,Financials
UAA,Under Armour Class A,Under Armour Class A,Consumer Discretionary
UA,Under Armour Class C,Under Armour Class C,Consumer Discretionary
UNP,Union Pacific,Union Pacific,Industrials
UAL,United Continental Holdings,United Continental Holdings,Industrials
UNH,United Health Group Inc.,United Health Group Inc.,Health Care
UPS,United Parcel Service,United Parcel Service,Industrials
URI,"United Rentals, Inc.","United Rentals, Inc.",Industrials
UTX,United Technologies,United Technologies,Industrials
UHS,"Universal Health Services, Inc.","Universal Health Services, Inc.",Health Care
UNM,Unum Group,Unum Group,Financials
VFC,V.F. Corp.,V.F. Corp.,Consumer Discretionary
VLO,Valero Energy,Valero Energy,Energy
VAR,Varian Medical Systems,Varian Medical Systems,Health Care
VTR,Ventas Inc,Ventas Inc,Real Estate
VRSN,Verisign Inc.,Verisign Inc.,Information Technology
VRSK,Verisk Analytics,Verisk Analytics,Industrials
VZ,Verizon Communications,Verizon Communications,Communication Services
VRTX,Vertex Pharmaceuticals Inc,Vertex Pharmaceuticals Inc,Health Care
VIAB,Viacom Inc.,Viacom Inc.,Communication Services
V,Visa Inc.,Visa Inc.,Information Technology
VNO,Vornado Realty Trust,Vornado Realty Trust,Real Estate
VMC,Vulcan Materials,Vulcan Materials,Materials
WAB,Wabtec Corporation,Wabtec Corporation,Industrials
WMT,Walmart,Walmart,Consumer Staples
WBA,Walgreens Boots Alliance,Walgreens Boots Alliance,Consumer Staples
DIS,The Walt Disney Company,The Walt Disney Company,Communication Services
